,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
126,3 rd ST,AT ,LA JOLLA AV,MAN,CR,June 14 2011,TUE,858.0,400.0,,,1257.0,"(34.0724135, -118.3679587)"
127,3 rd ST,AT,CARONDELET ST,AUTO,SR,February 12 2013,TUE,1069.0,618.0,0.0,0.0,1687.0,"(34.0650624, -118.2768442)"
128,3 rd ST,AT,39 th ST,AUTO,SR,October 26 2011,WED,2128.0,2122.0,,,4250.0,"(34.013939, -118.282249)"
129,3 rd ST,AT,COLUMBIA AV,AUTO,HW,October 06 2011,THU,3460.0,2751.0,,,6211.0,"(34.059432, -118.264409)"
130,3 rd ST,AT,SPRING ST,MIO,CR,May 02 2013,THU,19726.0,0.0,0.0,0.0,19726.0,"(34.05026429999999, -118.2469611)"
131,3 rd ST,AT,ALAMEDA ST,AUTO,CR,March 05 2014,WED,20494.0,0.0,0.0,0.0,20494.0,"(34.0455409, -118.23809)"
132,3 rd ST,AT,CENTRAL AV,AUTO,CR,March 05 2014,WED,21065.0,0.0,0.0,0.0,21065.0,"(34.0687301, -118.3090244)"
133,3 rd ST,AT,FLOWER ST,MAN,CR,April 02 2013,TUE,18541.0,3870.0,0.0,0.0,22411.0,"(34.0544084, -118.2533677)"
134,3 rd ST,AT,MAIN ST,MAN,CR,March 05 2013,TUE,23791.0,0.0,0.0,0.0,23791.0,"(34.0495432, -118.2459067)"
135,3 rd ST,AT,GRAND VIEW ST,AUTO,HW,February 05 2014,WED,14489.0,13369.0,0.0,0.0,27858.0,"(34.0642014, -118.2745822)"
136,3 rd ST,AT,McCADDEN PL,MAN,HW,October 10 2013,THU,15581.0,14652.0,0.0,0.0,30233.0,"(34.0689177, -118.3371752)"
137,3 rd ST,AT,GRAMERCY PL,AUTO,HW,November 07 2013,THU,14214.0,16559.0,0.0,0.0,30773.0,"(34.0689736, -118.312853)"
138,30 th ST,AT,SUMERSET DR,MAN,HW,April 23 2013,TUE,996.0,921.0,0.0,0.0,1917.0,"(34.0276211, -118.3373877)"
139,30 th ST,W/O,GAFFEY ST,MAN,HW,June 30 2011,THU,2757.0,2258.0,,,5015.0,"(33.7159628, -118.2928766)"
140,31 st ST,E/O,GAFFEY ST,AUTO,SR,November 21 2011,MON,581.0,225.0,,,806.0,"(33.7160824, -118.2928737)"
141,33rd ST ,AT,CENTRAL AV,AUTO,CR,April 16 2014,WED,1097.0,688.0,0.0,0.0,1785.0,"(34.0138143, -118.2565318)"
142,34 th ST,AT,BARBARA ST,AUTO,SR,June 30 2013,SUN,68.0,68.0,0.0,0.0,136.0,"(33.7172804, -118.3029571)"
143,34 th ST,AT,BARBARA ST,AUTO,SR,June 28 2013,FRI,67.0,95.0,0.0,0.0,162.0,"(33.7172804, -118.3029571)"
144,34 th ST,AT,BARBARA ST,AUTO,SR,June 29 2013,SAT,74.0,94.0,0.0,0.0,168.0,"(33.7172804, -118.3029571)"
145,35 th ST,AT,HILL ST,MAN,CR,November 29 2011,TUE,,15181.0,,,15181.0,"(34.0183113, -118.2757716)"
146,36 th PL,AT,HILL ST,AUTO,CR,June 21 2011,TUE,,1293.0,,,1293.0,"(34.0218884, -118.3038182)"
147,37 th PL,AT,WESTERN AV,AUTO,SR,March 04 2014,TUE,920.0,872.0,0.0,0.0,1792.0,"(34.0202462, -118.3089186)"
148,37 th PL,AT,WESTERN AV,AUTO,CR,June 21 2011,TUE,2161.0,,,,2161.0,"(34.0202462, -118.3089186)"
149,37 th PL ,AT ,WESTERN AV,AUTO,SR,March 07 2014,FRI,957.0,897.0,0.0,0.0,1854.0,"(34.0202462, -118.3089186)"
150,37 th PL ,W/O,FLOWER ST,AUTO,CR,March 25 2014,TUE,1815.0,557.0,0.0,0.0,2372.0,"(34.0171097, -118.2816354)"
